#langue_pile="de"
#langue_face="fr"
Pile;Face;Difficulté
achtzig;quatre-vingts;0
abbiegen;tourner;1
aber;mais;0
acht;huit;1
achtzehn, neunzehn;dix-huit, dix-neuf;0
alles;tout;1
Alles klar?;Tout va bien ?;0
altmodisch;ringard(e);0
arbeiten;travailler;2
arbeitslos;sans emploi;0
Auf Wiedersehen!;Au revoir !;0
bestellen;commander;1
besuchen;visiter/rendre visite;0
bis;jusqu'à / vers;0
Bis bald!;À bientôt !;1
Bitte;S’il te plaît/S’il vous plaît;0
das Badezimmer;la salle de bains;0
das Bier;la bière;0
das Brot;le pain;0
das Café;le café;0
das da / das hier;celui-là (celle-là)/celui-ci (celle-ci);2
das Einfamilienhaus;la maison;0
das Ei / die Eier;l’œuf/les œufs;2
das Fischgeschäft;la poissonnerie;1
das Fleisch;la viande;0
das Gemüse;les légumes;0
das Glas;le verre;0
das Hauptgericht;le plat principal;2
das Haus;la maison;2
das Kilo;le kilo;0
das Knäckebrot;le pain croquant suédois;0
das Krankenhaus;l'hôpital;0
"Das macht 3,20 Euro; bitte.";"Cela fait 3,20 euros; s’il vous plaît.";1
das Museum;le musée;0
das Müsli;les céréales;0
das Obst;le fruit;0
das Restaurant;le restaurant;1
das Salz;le sel;1
das Schlafzimmer;la chambre;1
das Taxi;le taxi;1
das Wasser;l'eau;0
das Wohnzimmer;le salon;0
das Zimmer;la pièce;0
das Öl;l'huile;1
dein Bruder;ton frère;1
deine Schwester;ta sœur;0
der Aufschnitt;le buffet froid;1
der Bahnhof;la gare;0
der Balkon;le balcon;1
der Barkeeper / die Barkeeperin;le barman/la barmaid;1
der Bruder / die Schwester;le frère/la sœur;0
der Bus;le bus;0
der Cousin;le cousin;1
der Erzieher / die Erzieherin;l’enseignant/l’enseignante en maternelle;0
der Fisch;le poisson;0
der Freund;"l’ami; le petit ami";1
der Garten;le jardin;1
der Großvater / die Großmutter;le grand-père/la grand-mère;0
"der Hamster; die Hamster";"le hamster; les hamsters";1
"der Hund; die Hunde";"le chien; les chiens";0
der Informatiker / die Informatikerin;l’informaticien/l’informaticienne;0
der Ingenieur / die Ingenieurin;l’ingénieur/l’ingénieure;0
der Job;l’emploi;0
der Kaffee;le café;0
der Kaffeeklatsch;une discussion informelle autour d’un café;0
der Kellner / die Kellnerin;le serveur/la serveuse;1
der Kopf;la tête;1
der Krankenpfleger / die Krankenpflegerin;l’infirmier/l’infirmière;1
der Käse;le fromage;0
der Lehrer / die Lehrerin;l’enseignant/l’enseignante;0
der Mitbewohner / die Mitbewohnerin;Le/la colocataire;2
der Nachbar / die Nachbarin;le voisin / la voisine;0
der Nachtisch;le dessert;1
der Obst- und Gemüseladen;le magasin de fruits et légumes;0
der Onkel;l’oncle;0
der Psychologe / die Psychologin;le psychologue/la psychologue;1
der Reis;le riz;1
der Saft;le jus de fruits;0
der Supermarkt;le supermarché;0
der Tisch;la table;1
der Vater;le père;0
der Vater / die Mutter;le père/la mère;0
der Verkäufer / die Verkäuferin;le vendeur/la vendeuse;1
der Vermieter / die Vermieterin;le propriétaire / la propriétaire;0
"der Vogel; die Vögel";"l’oiseau; les oiseaux";0
der Wein;le vin;0
der Zucker;le sucre;0
die Adresse;l'adresse;0
die Apfelschorle;le spritzer à la pomme (jus de pomme et eau gazeuse);0
die Apotheke;la pharmacie;1
die Arbeit;le travail/l’emploi;1
die Bahn;le train;1
die Bank;la banque;1
die Bar;le bar;1
die Butter;le beurre;0
die Bäckerei;la boulangerie;0
die Cousine;la cousine;0
die Disco;la discothèque;1
die Dose;"la canette; la boîte";0
die Eltern;les parents;0
die Enkelkinder;les petits-enfants;1
die Fahrkarte;le billet;1
die Familie;la famille;1
die Flasche;la bouteille;1
die Fleischerei;la boucherie;1
die Fleischerei / die Metzgerei;la boucherie;1
die Freundin;"l’amie; la petite amie";1
die Geschwister (Plural);les frères et sœurs;1
die Großeltern;les grands-parents;0
die Haltestelle;l'arrêt;0
die Hausnummer;le numéro de la maison;1
die Katze;le chat;1
"die Katze; der Kater";"la chatte; le chat";1
die Kinder;les enfants;0
die Küche;la cuisine;1
die Miete;le loyer;0
die Milch;le lait;0
die Milchprodukte;les produits laitiers;0
die Nudeln;les pâtes;0
die Post;la poste;0
die Postleitzahl;le code postal;1
die Rechnung;la note;1
die S-Bahn;le métro aérien;0
die Speisekarte;la carte;0
die Stadt;la ville;1
die Straße;la rue;1
die Straßenbahn;le tramway;1
die Tante;la tante;0
die Terrasse;la terrasse;0
die Tochter;la fille;0
die U-Bahn;le métro;1
die Vorspeise;les entrées;0
die Wohngemeinschaft / WG;la colocation;1
die Wohnung;l'appartement;1
die Wurst;la charcuterie;0
dort;là-bas;0
drei;trois;0
dreizehn, vierzehn, fünfzehn;treize, quatorze, quinze;0
dreißig;trente;1
du bist;tu es;1
du hast;tu as;1
durch;par/à travers;0
ein bisschen;un petit peu;1
Ein Stück Kuchen, bitte.;Une part de gâteau, s’il vous plaît.;1
Einen Kaffee, bitte.;Un café, s’il vous plaît.;0
einhundert;cent;0
eins;un;0
elf;onze;0
Entschuldigung!;Désolé! / Excusez-moi !;0
er ist;il est;1
Er liebt mich.;Il m’aime.;0
Er liebt sie.;Il l’aime.;1
