Pile;Face;Difficulté
Pugnacité;Combativité;1
Abhorrer;Avoir en horreur;1
Collusion;Accord secret;1
Carcan;Milieu social replié sur lui même;1
Connivence;Complicité;1
Dithyrambique;Très élogieux;1
Draconien;D'un excessive sévérité;1
Griefs;Charges,reproches;1
Lapidaire;Concis,succinct;2
Pérorer;Parler de manière prétentieuse;1
frugal;qui se nourrit de peu, qui vit d’une manière simple;2
dogmatisme;position catégorique, qui rejette le doute et refuse la critique.;2
velléitaire;qui est incapable de prendre des décisions et de passer aux actes;2
vilipender;traiter avec beaucoup de mépris;2
opiniâtreté;Volonté, persévérance tenace, acharnement, obstination;2
iconoclaste;Qui est ennemi de toute tradition, qui cherche à faire disparaître tout ce qui est le passé;2
indigent;Qui manque des choses les plus nécessaires, nécessiteux;2
prérogative;Avantage ou droit attaché à une fonction, un état.;2
