Pile;Face;Difficulté
abhorrer;détester, exécrer;2
aboulie;perte de vitalité d’un groupe social, d’un nation;2
abraser;user, abîmer une surface par frottement;2
abscons;se dit d’un mode d’expression ou de quelque chose qui n’est compréhensible que des initiés;2
absoudre;pardonner la faute de quelqu’un, l’en excuser;2
abstrus;difficile à comprendre;2
accointance;relation, liaison avec d’autres personnes, avec un milieu (péjoratif et au pluriel);2
achopper;être arrêté par un obstacle, une difficulté;2
acrimonie;caractère agressif de quelqu’un, qui se manifeste dans l’humeur ou dans l’aigreur de langage;2
actant;agent effectif de l’action exprimée par le verbe;2
ad hoc;d’une manière qui convient, positif, adéquat, pertinent;2
adamantin;qui a l’éclat ou la dureté, la résistance du diamant;2
addendum;ajout à un document, note additionnelle;2
adjurer;prier, supplier quelqu’un de faire de quelque chose, le conjurer;2
admonestation;avertissement solennel, remontrance;2
affable;aimable, courtois, accueillant;2
affabulation;manière purement imaginaire de présenter des faits, fabulation;2
affre;angoisse;2
agélaste;personne qui ne sait pas rire, qui n’a pas le sens de l’humour;2
agonistique;caractérisé par l’affrontement;2
airain;bronze, alliage à base de cuivre;2
alacrité;liesse,  jubilation;2
algarade;attaque militaire brusque destinée à semer l’effroi, querelle brusque et inattendue;2
alléguer;s’appuyer sur quelque chose, prétexter;2
allochtone;personne appartenant à un groupe dont les ancêtres ne sont pas originaires du pays où il habite;2
altier;d’une fierté impérieuse, hautain;2
amène;agréable, courtois, aimable et affable;2
aménité;politesse, affabilité qui charme;2
ampoulé;plein d’emphase et d’exagération, boursouflé, emphatique;2
andin;originaire des Andes;2
androgyne;qui peut s’appliquer aux deux sexes;2
ankylosé;engourdi, défaut de souplesse, impuissance à s’adapter ou à se renouveler;2
antécédence;état de ce qui est antécédent, préexistence par rapport à quelque chose, antériorité;2
antienne;répétition continuelle et lassante de quelque chose, refrain;2
antonomase;figure de style consistant à remplacer un nom commun par un nom propre ou inversement;2
aphorisme;phrase qui résume en quelques mots une vérité fondamentale;2
apologétique;partie de la théologie qui a pour objet de démontrer la crédibilité rationnelle et historique du dogme;2
aporie;contradiction insoluble qui apparaît dans un raisonnement;2
aposiopèse;brusque interruption d’une phrase, d’une construction, qui signale l’effet d’une émotion, une menace, une hésitation;2
apostat;personne qui abandonne une doctrine, une opinion, un parti;2
apostolat;activité à laquelle on se consacre de façon énergique et désintéressée, à la manière d’un apôtre;2
appétence;désir instinctif qui porte vers tout objet propre à satisfaire un penchant naturel, en particulier vers la nourriture;2
apposer;appliquer quelque chose sur quelque chose;2
arcadie;société idéale qui vit dans le bonheur et l’innocence;2
archaïsant;personne qui, dans son art ou sa façon de faire, emploie des archaïsmes ou affecte l’archaïsme;2
archangélique;qui évoque la perfection, la pureté de l’archange;2
arénacé;qui est de la nature du sable, qui a l’aspect, l’apparence du sable;2
argutie;subtilité de langage, raison spécieuse qui dissimule l’absence réelle d’arguments sérieux (surtout pluriel);2
arlésienne;chose attendue et qui n’arrive pas, sujet récurrent;2
ascète;personne qui s’impose une vie rude et austère;2
assuétude;dépendance à une drogue;2
ataraxie;tranquillité absolue de l’âme;2
atavisme;ensemble de traits de caractère transmis par les ascendants;2
atermoiements;remise à plus tard d’une décision qu’il faudrait prendre sur le moment, tergiversations;2
atonie;défaut d’énergie, de vitalité;2
atterrage;espace de la mer situé près du rivage;2
atticisme;style qui joint l’élégance à la pureté, délicatesse de langage, finesse de goût particulière aux Athéniens;2
auroral;qui évoque l’aurore, qui en est relatif;2
avanie;affront public, traitement humiliant, brimade, vexation;2
avision;idée saugrenue, singularité, fantaisie;2
avitaillé;pourvu de vivres;2
avivage;action de rendre plus vif, plus éclatant;2
badiner;plaisanter, prendre à la légère;2
bâfre;action de trop manger, de se bâfrer;2
bastant;suffisant, qui permet de satisfaire un but donné;2
bauge;lieu, logement sale et crasseux;2
behaviorisme;école qui tend a étudier les individus qu’à travers leurs réactions au milieu, à travers leurs comportement;2
béjaune;jeune homme sot et inexpérimenté.;2
besicle;lunettes sans branches qui se fixent au nez;2
bigarré;disparate, hétéroclite;2
bigot;qui est d’une dévotion excessive;2
billevisée;propos, idée vide de sens, sottise, baliverne (surtout pluriel);2
bioéthique;étude des problèmes moraux soulevés par la recherche biologique, médicale ou génétique;2
bovarysme;comportement d’une femme que l’insatisfaction entraîne à des rêveries ambitieuses ayant un rôle compensatoire;2
brasiller;scintiller, étinceler, briller, luire;2
bravade;manifestation, démonstration de bravoure;2
cabotin; personne qui manque de naturel, dont les attitudes, les manières sont trop étudiées et théâtrales;2
cacique;personnalité qui, en raison de ses fonctions, exerce un pouvoir ou une influence sur un groupe;2
cacographie;mauvaise écriture, mauvais style, orthographe fautive;2
caducifolié;qui perd ses feuilles en hiver ou à la saison sèche;2
cahoteux;irrégulier, qui fait cahoter;2
cailletage;bavardage frivole, notamment des femmes;2
calicot;toile de coton assez grossière, de qualité très ordinaire;2
campanaire;relatif aux cloches, à leur fabrication;2
capharnaüm;pièce qui comporte un amas d’objet en désordre;2
castille;petite querelle sans importance qui survient entre deux personnes;2
casuistique;argumentation subtile destinée à masquer la vérité, disposition pour transiger avec sa conscience;2
catafalque;construction en estrade où est mis le cercueil pendant la cérémonie funèbre;2
catilinaire; discours violent contre quelqu’un, diatribe;2
caudillo; dictateur militaire ou politique qui a pris le pouvoir en Espagne;2
caustique; qui est cinglant, blessant dans la plaisanterie ou la satire;2
cénacle;comité restreint, cercle de gens de lettres ou d’artistes;2
cénotaphe;monument élevé à la mémoire d’un mort et qui ne contient pas ses restes;2
centripète;qui tend à s’approcher du centre.;2
chantre;personne qui glorifie, loue quelqu’un ou quelque chose;2
chapelet;suite d’objets attachés ensemble, série d’éléments semblables;2
chatterie;caresse, cajolerie ou friandise;2
chicaneur;qui cherche les querelle, souvent de mauvaise foi et portant sur un détail;2
circonlocution;périphrase que l’on utilise pour éviter de dire franchement, directement ce que l’on pense. manière d’exprimer sa pensée de façon indirecte;2
circonspection;prudence qui incite à ne négliger aucune circonstance avant d’agir, précaution, réserve;2
circonstancié;exposé dans tous ses détails;2
cléromancie;prédiction de l’avenir par le tirage au sort, le lancer de dès, le hasard;2
coi;rester coi, se tenir coi, rester, demeurer calme, tranquille, muet, sous l’effet de la surprise, de l’émotion, de la crainte;2
colifichet;petit objet de fantaisie, de peu de valeur et de mauvais goût, sans utilité réelle, utilisé pour la parure ou la décoration;2
collusion;entente secrète visant à tromper quelqu’un;2
comice;réunion de professionnels pour l’essor de leur métier;2
commensal;personne qui mange habituellement à la même table qu’une ou plusieurs autres;2
comminatoire;qui a le caractère d’une menace, menaçant;2
commisération;sentiment de miséricorde, sorte de pitié qu’on ressent pour ceux qui se sont rendus coupables de fautes, qui ont commis des actes contraires à la morale, à la religion.;2
compendieux;abrégé;2
compendium;résumé de l’ensemble d’une science, d’une doctrine;2
componction;douleur, regret d’avoir offensé Dieu;2
concaténation;enchaînement des idées, des causes et des effets, des éléments d’une suite;2
concomitant;qui a lieu en même temps qu’un autre phénomène;2
condottiere;chef de mercenaire, homme qui conduit ses projets avec panache, chef charismatique et victorieux;2
congru;qui convient, qui s’adapte exactement à ce qu’on veut exprimer;2
conjuratoire;qui sert à écarter un danger, à conjurer le mauvais sort;2
contrition;état de celui qui est plein de regret pour ses péchés;2
coquecigrue;rêverie fantasque, absurdité, Idiot, bizarre, extravagant;2
corroborer;appuyer, renforcer, confirmer une opinion, une hypothèse;2
coryphée;personne qui se distingue le plus dans une secte, dans un parti, dans une profession ou qui, dans un groupe, prend la parole pour les autres;2
cosmogonie;récit mythologique décrivant la formation de l’univers;2
cossard;paresseux, fainéant;2
coterie;groupe de personnes qui se soutiennent pour faire prévaloir leurs intérêts;2
courtaud;personne de taille courte et ramassée;2
crapuleusement;d’une manière crapuleuse;2
craqueter;faire souvent entendre un bruit sec;2
crisogène;qui provoque, ou peut provoquer, une crise;2
dactyloïde;qui a l’apparence d’un doigt;2
