,Allemand,Français,Difficulté
0,achtzig,quatre-vingts,2
1,abbiegen,tourner,2
2,aber,mais,2
3,acht,huit,2
4,"achtzehn, neunzehn","dix-huit, dix-neuf",2
5,alles,tout,1
6,Alles klar?,Tout va bien ?,2
7,altmodisch,ringard(e),2
8,arbeiten,travailler,2
9,arbeitslos,sans emploi,0
10,Auf Wiedersehen!,Au revoir !,1
11,bestellen,commander,2
12,besuchen,visiter/rendre visite,2
13,bis,jusqu'à / vers,2
14,bis,jusqu'à/vers,1
15,Bis bald!,À bientôt !,0
16,Bitte,S’il te plaît/S’il vous plaît,2
17,das Badezimmer,la salle de bains,2
18,das Bier,la bière,2
19,das Brot,le pain,2
20,das Brot,le pain,2
21,das Café,le café,1
22,das da / das hier,celui-là (celle-là)/celui-ci (celle-ci),2
23,das Einfamilienhaus,la maison,2
24,das Ei / die Eier,l’œuf/les œufs,2
25,das Fischgeschäft,la poissonnerie,2
26,das Fleisch,la viande,2
27,das Gemüse,les légumes,2
28,das Gemüse,les légumes,0
29,das Glas,le verre,2
30,das Hauptgericht,le plat principal,2
31,das Haus,la maison,2
32,das Kilo,le kilo,2
33,das Knäckebrot,le pain croquant suédois,2
34,das Krankenhaus,l'hôpital,2
35,"Das macht 3,20 Euro, bitte.","Cela fait 3,20 euros, s’il vous plaît.",2
36,das Museum,le musée,2
37,das Müsli,les céréales,2
38,das Obst,le fruit,2
39,das Obst,le fruit,2
40,das Restaurant,le restaurant,2
41,das Restaurant,le restaurant,2
42,das Salz,le sel,2
43,das Schlafzimmer,la chambre,2
44,das Taxi,le taxi,2
45,das Wasser,l'eau,2
46,das Wasser,l'eau,2
47,das Wohnzimmer,le salon,2
48,das Zimmer,la pièce,1
49,das Öl,l'huile,2
50,dein Bruder,ton frère,2
51,deine Schwester,ta sœur,2
52,der Aufschnitt,le buffet froid,2
53,der Bahnhof,la gare,1
54,der Bahnhof,la gare,2
55,der Balkon,le balcon,2
56,der Barkeeper / die Barkeeperin,le barman/la barmaid,2
57,der Bruder / die Schwester,le frère/la sœur,1
58,der Bus,le bus,2
59,der Cousin,le cousin,2
60,der Erzieher / die Erzieherin,l’enseignant/l’enseignante en maternelle,1
61,der Fisch,le poisson,2
62,der Freund,"l’ami, le petit ami",1
63,der Garten,le jardin,2
64,der Großvater / die Großmutter,le grand-père/la grand-mère,2
65,"der Hamster, die Hamster","le hamster, les hamsters",2
66,"der Hund, die Hunde","le chien, les chiens",2
67,der Informatiker / die Informatikerin,l’informaticien/l’informaticienne,2
68,der Ingenieur / die Ingenieurin,l’ingénieur/l’ingénieure,2
69,der Job,l’emploi,2
70,der Kaffee,le café,2
71,der Kaffeeklatsch,une discussion informelle autour d’un café,1
