Pile,Face,Difficulté
achtzig,quatre-vingts,2
abbiegen,tourner,2
abendessen,dîner,2
aber,mais,2
acht,huit,2
"achtzehn, neunzehn","dix-huit, dix-neuf",2
"achtzig, neunzig, einhundert","quatre-vingt, quatre-vingt-dix, cent",2
alles,tout,2
Alles klar?,Tout va bien ?,2
altmodisch,ringard(e),2
arbeiten,travailler,2
arbeitslos,sans emploi,1
Auf Wiedersehen!,Au revoir !,2
aufstehen,se lever,2
aufstehen,se lever,2
bei,à,2
bestellen,commander,2
besuchen,visiter/rendre visite,2
bis,jusqu'à / vers,2
bis,jusqu'à/vers,2
Bis bald!,À bientôt !,2
Bitte,S’il te plaît/S’il vous plaît,2
blaue Augen,yeux bleus,2
blond,blond / blonde,2
braune Augen,les yeux marrons,2
das Badezimmer,la salle de bains,2
das Bier,la bière,2
das Brot,le pain,2
das Brot,le pain,2
das Café,le café,2
das da / das hier,celui-là (celle-là)/celui-ci (celle-ci),2
das Einfamilienhaus,la maison,2
das Ei / die Eier,l’œuf/les œufs,2
das Fischgeschäft,la poissonnerie,2
das Fleisch,la viande,2
das Gemüse,les légumes,2
das Gemüse,les légumes,2
das Glas,le verre,2
das Hauptgericht,le plat principal,2
das Haus,la maison,2
das Kilo,le kilo,2
das Klavier,le piano,2
das Knäckebrot,le pain croquant suédois,2
das Krankenhaus,l'hôpital,2
"Das macht 3,20 Euro, bitte.","Cela fait 3,20 euros, s’il vous plaît.",2
das Museum,le musée,2
das Müsli,les céréales,2
das Obst,le fruit,2
das Obst,le fruit,2
das Restaurant,le restaurant,2
das Restaurant,le restaurant,2
das Salz,le sel,2
das Saxofon,le saxophone,2
das Schlafzimmer,la chambre,2
das Schlagzeug,la batterie,2
das Schlagzeug,la batterie,2
das Taxi,le taxi,2
das Wasser,l'eau,2
das Wasser,l'eau,2
das Wochenende,le week-end,2
das Wohnzimmer,le salon,2
das Zimmer,la pièce,2
das Öl,l'huile,2
dein Bruder,ton frère,2
deine Schwester,ta sœur,2
der Aufschnitt,le buffet froid,2
der Bahnhof,la gare,2
der Bahnhof,la gare,2
der Balkon,le balcon,2
der Barkeeper / die Barkeeperin,le barman/la barmaid,2
der Bruder / die Schwester,le frère/la sœur,2
der Bus,le bus,2
der Cousin,le cousin,2
der Erzieher / die Erzieherin,l’enseignant/l’enseignante en maternelle,2
der Fisch,le poisson,2
der Freund,"l’ami, le petit ami",2
der Garten,le jardin,2
der Großvater / die Großmutter,le grand-père/la grand-mère,2
"der Hamster, die Hamster","le hamster, les hamsters",2
"der Hund, die Hunde","le chien, les chiens",2
der Informatiker / die Informatikerin,l’informaticien/l’informaticienne,2
der Ingenieur / die Ingenieurin,l’ingénieur/l’ingénieure,2
der Job,l’emploi,2
der Kaffee,le café,2
der Kaffeeklatsch,une discussion informelle autour d’un café,2
der Kellner / die Kellnerin,le serveur/la serveuse,2
der Kopf,la tête,2
der Krankenpfleger / die Krankenpflegerin,l’infirmier/l’infirmière,2
der Käse,le fromage,2
der Käse,le fromage,2
der Lehrer / die Lehrerin,l’enseignant/l’enseignante,2
der Mitbewohner / die Mitbewohnerin,Le/la colocataire,2
der Nachbar / die Nachbarin,le voisin / la voisine,2
der Nachtisch,le dessert,2
der Obst- und Gemüseladen,le magasin de fruits et légumes,2
der Onkel,l’oncle,2
der Psychologe / die Psychologin,le psychologue/la psychologue,2
der Saft,le jus de fruits,2
der Supermarkt,le supermarché,2
der Tag,le jour,2
der Tisch,la table,2
der Vater,le père,2
der Vater / die Mutter,le père/la mère,2
der Verkäufer / die Verkäuferin,le vendeur/la vendeuse,2
der Vermieter / die Vermieterin,le propriétaire / la propriétaire,2
"der Vogel, die Vögel","l’oiseau, les oiseaux",2
der Wein,le vin,2
der Zucker,le sucre,2
die Adresse,l'adresse,2
die Apfelschorle,le spritzer à la pomme (jus de pomme et eau gazeuse),2
die Apotheke,la pharmacie,2
die Arbeit,le travail/l’emploi,2
die Bahn,le train,2
die Bank,la banque,2
die Bar,le bar,2
die Butter,le beurre,2
die Bäckerei,la boulangerie,2
die Bäckerei,la boulangerie,2
die Cousine,la cousine,2
die Disco,la discothèque,2
die Dose,"la canette, la boîte",2
die Eltern,les parents,2
die Enkelkinder,les petits-enfants,2
die Fahrkarte,le billet,2
die Familie,la famille,2
die Flasche,la bouteille,2
die Flasche,la bouteille,2
die Fleischerei,la boucherie,2
die Fleischerei / die Metzgerei,la boucherie,2
die Flöte,la flûte,2
die Freizeit,le temps libre,2
die Freundin,"l’amie, la petite amie",2
die Geige,le violon,2
die Geige,le violon,2
die Geschwister (Plural),les frères et sœurs,2
die Gitarre,la guitare,2
die Großeltern,les grands-parents,2
die Haltestelle,l'arrêt,2
die Hausnummer,le numéro de la maison,2
die Katze,le chat,2
"die Katze, der Kater","la chatte, le chat",2
die Kinder,les enfants,1
die Küche,la cuisine,2
die Miete,le loyer,2
die Milch,le lait,2
die Milch,le lait,2
die Milchprodukte,les produits laitiers,2
die Nudeln,les pâtes,2
die Nudeln,les pâtes,2
die Post,la poste,2
die Postleitzahl,le code postal,2
die Rechnung,la note,2
die S-Bahn,le métro aérien,2
die Speisekarte,la carte,2
die Stadt,la ville,2
die Straße,la rue,2
die Straße,la rue,2
die Straßenbahn,le tramway,2
die Tante,la tante,2
die Terrasse,la terrasse,2
die Tochter,la fille,2
die Trompete,la trompette,2
die U-Bahn,le métro,2
die Vorspeise,les entrées,2
die Woche,la semaine,2
die Wohngemeinschaft / WG,la colocation,2
die Wohnung,l'appartement,2
die Wohnung,l'appartement,2
die Wurst,la charcuterie,2
dort,là-bas,2
drei,trois,1
"dreizehn, vierzehn, fünfzehn","treize, quatorze, quinze",2
"dreizehn, vierzehn, fünfzehn","treize, quatorze, quinze",2
dreißig,trente,2
"dreißig, vierzig, fünfzig","trente, quarante, cinquante",2
du bist,tu es,2
du hast,tu as,2
durch,par/à travers,2
durch,par/à travers,2
duschen,prendre une douche,2
dürfen,avoir le droit,2
ein bisschen,un petit peu,2
ein bisschen,un peu,2
ein Instrument spielen,jouer d'un instrument,2
"Ein Stück Kuchen, bitte.","Une part de gâteau, s’il vous plaît.",2
"Einen Kaffee, bitte.","Un café, s’il vous plaît.",2
einhundert,cent,2
einkaufen,faire les courses,2
eins,un,2
elf,onze,2
"elf, zwölf","onze, douze",1
Entschuldigung!,Désolé! / Excusez-moi !,2
Entschuldigung!,Excusez-moi !,2
entspannen,se détendre,2
entspannen,se détendre,2
er ist,il est,2
Er liebt mich.,Il m’aime.,2
Er liebt sie.,Il l’aime.,2
Es geht nur bar.,Les paiements se font uniquement en espèces.,2
Es gibt...,Il y a...,2
es ist,il/elle est (neutre),2
Es ist ... Uhr.,Il est .... heures.,1
Es tut mir leid.,Je suis désolé./Je suis désolée.,2
essen,manger,2
Essen bestellen,commander un repas,2
Essen gehen,manger à l’extérieur,2
Essen machen,préparer à manger,2
etwas,du/de la,2
euer Onkel,votre oncle,2
eure Tante,votre tante,2
extrem,extrêmement,2
fahren,conduire,2
Fahrrad fahren,faire du vélo,2
fernsehen,regarder la télévision,2
fernsehen,regarder la télévision,2
Frau,Madame,2
"Freitag, Samstag, Sonntag","vendredi, samedi, dimanche",2
Freunde treffen,retrouver des amis,2
Freunde treffen,retrouver des amis,2
Freut mich auch!,Enchanté aussi !,2
Freut mich!,Enchanté/e !,2
frühstücken,prendre son petit-déjeuner,2
Fußball spielen,jouer au football,2
fünf,cinq,2
fünfzig,cinquante,2
für,pour,2
für,pour,2
gegen,contre,2
gegenüber,en face de,2
Gehen wir...,Allons...,2
genug,assez,2
geradeaus,tout droit,2
geradeaus,tout droit,1
geschlossen,fermé,2
gesund,en bonne santé,2
groß,grand/grande,2
gut drauf,de bonne humeur,2
"Gut, danke.","Bien, merci.",2
Guten Tag!,Bonjour (formel),1
günstig,bon rapport qualité-prix,2
Haben Sie ...?,Avez-vous... ?,2
halb,et demi,2
Hallo!,Salut !,2
Hast du Durst?,As-tu soif ?,2
Hast du Geschwister?,As-tu des frères et sœurs ?,2
Hast du Hunger?,Tu as faim ?,2
Haustiere,animaux de compagnie,2
Herr,Monsieur,2
hier,ici,2
hip,branché,2
hoch,haut / haute,2
Ich,Je,2
Ich arbeite bei...,Je travaille pour...,2
ich bin,je suis,2
Ich bin arbeitslos.,Je suis sans emploi.,2
Ich bin Einzelkind.,Je suis fille unique.,2
Ich brauche...,J’ai besoin de...,2
Ich esse alles.,Je mange de tout.,2
Ich esse gern Pizza.,J’aime manger des pizzas.,2
Ich esse kein Fleisch.,Je ne mange pas de viande.,2
Ich esse keine Milchprodukte.,Je ne consomme pas de produits laitiers.,2
Ich gehe gern...,J’aime bien aller...,2
Ich gehe lieber...,Je préfère aller...,2
ich habe,J’ai,2
Ich habe drei Brüder.,J’ai trois frères.,1
Ich habe Durst.,J’ai soif.,2
Ich habe eine Schwester.,J’ai une sœur.,2
Ich habe einen Bruder.,J’ai un frère.,2
Ich habe Hunger.,J’ai faim.,2
Ich habe keine Geschwister.,Je n’ai pas de frères et sœurs.,2
Ich habe Lust auf ...,J’ai envie de...,1
Ich habe zwei Schwestern.,J’ai deux sœurs.,2
Ich komme aus den USA.,Je viens des États-Unis.,2
Ich komme aus der Türkei.,Je viens de Turquie.,2
Ich komme aus Deutschland.,Je viens d'Allemagne.,1
Ich liebe dich!,Je t’aime !,2
Ich liebe Hunde.,J’adore les chiens.,2
