Pile;Face;Difficulté
Albanie;Tirana;0.0
Allemagne;Berlin,2;
Andorre;Andorre-la-Vieille;0.0
Autriche;Vienne;0.0
Belgique;Bruxelles;0.0
Biélorussie;Minsk;0.0
Bosnie-Herzégovine;Sarajevo;0.0
Bulgarie;Sofia;0.0
Chypre;Nicosie;0.0
Croatie;Zagreb;0.0
Danemark;Copenhague;0.0
Espagne;Madrid;0.0
Estonie;Tallinn;0.0
Finlande;Helsinki;0.0
France;Paris;0.0
Grèce;Athènes;0.0
Hongrie;Budapest;0.0
Irlande;Dublin;0.0
Islande;Reykjavik;0.0
Italie;Rome;0.0
Kosovo;Pristina;0.0
Lettonie;Riga;0.0
Liechtenstein;Vaduz;0.0
Lituanie;Vilnius;0.0
Luxembourg;Luxembourg;0.0
Macédoine du Nord;Skopje;0.0
Malte;La Valette;1.0
Moldavie;Chisinau;1.0
Monaco;Monaco;0.0
Monténégro;Podgorica;0.0
Norvège;Oslo;0.0
Pays-Bas;Amsterdam;0.0
Pologne;Varsovie;0.0
Portugal;Lisbonne;0.0
République Tchèque;Prague;0.0
Rouamnie;Bucarest;0.0
Royaume-Uni;Londres;0.0
Russie;Moscou;0.0
Serbie;Belgrade;0.0
Slovaquie;Brastislava;0.0
Slovénie;Ljubljana;0.0
Suisse;Berne;0.0
Suède;Stockholm;0.0
Ukraine;Kiev;0.0
Vatican;Vatican;0.0
